Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:15:04.545 GMT+0300	1.616	1.6154	1.6	3.2
01.01.2010 00:15:15.792 GMT+0300	1.616	1.6154	1.6	4.8
01.01.2010 00:15:39.026 GMT+0300	1.616	1.6154	1.6	4
01.01.2010 00:15:44.065 GMT+0300	1.616	1.6154	1.6	3.2
01.01.2010 00:16:26.755 GMT+0300	1.616	1.6154	1.6	4
01.01.2010 00:16:27.055 GMT+0300	1.616	1.61545	3.2	1.6
01.01.2010 00:16:27.395 GMT+0300	1.616	1.6154	3.2	4.8
01.01.2010 00:17:27.120 GMT+0300	1.616	1.6154	3.2	3.2
01.01.2010 00:18:09.958 GMT+0300	1.61549	1.61529	1	1
01.01.2010 00:18:10.138 GMT+0300	1.61548	1.61523	3.1	1.7
01.01.2010 00:18:28.024 GMT+0300	1.61541	1.61516	4.7	1
01.01.2010 00:18:28.353 GMT+0300	1.61534	1.61509	1	1
01.01.2010 00:18:29.383 GMT+0300	1.61531	1.61501	2.2	1.7
01.01.2010 00:18:29.443 GMT+0300	1.61535	1.61505	1	1
01.01.2010 00:18:29.853 GMT+0300	1.61541	1.61516	1	1
01.01.2010 00:18:29.963 GMT+0300	1.61553	1.61528	1	1
01.01.2010 00:18:31.373 GMT+0300	1.61558	1.61533	1	1
01.01.2010 00:18:37.801 GMT+0300	1.61552	1.61527	1	1
01.01.2010 00:18:54.197 GMT+0300	1.61534	1.61529	2.2	1.7
01.01.2010 00:18:57.227 GMT+0300	1.61539	1.61514	1	1
01.01.2010 00:18:57.456 GMT+0300	1.61535	1.61511	1.7	1
01.01.2010 00:19:25.571 GMT+0300	1.6153	1.61506	1	1
01.01.2010 00:19:26.811 GMT+0300	1.61529	1.61504	2.2	1.7
01.01.2010 00:19:36.272 GMT+0300	1.61539	1.61509	3.1	1
01.01.2010 00:19:43.687 GMT+0300	1.61556	1.61531	4.7	1
01.01.2010 00:19:46.137 GMT+0300	1.6157	1.61544	1	1
01.01.2010 00:19:48.361 GMT+0300	1.61572	1.61547	1	1
01.01.2010 00:19:57.654 GMT+0300	1.61573	1.61548	3.1	1
01.01.2010 00:20:13.371 GMT+0300	1.61605	1.61545	3.2	1.6
01.01.2010 00:20:17.740 GMT+0300	1.616	1.6154	3.2	3.2
01.01.2010 00:20:18.130 GMT+0300	1.61605	1.6154	3.2	3.2
01.01.2010 00:20:18.419 GMT+0300	1.61605	1.61545	3.2	1.6
01.01.2010 00:20:20.419 GMT+0300	1.61605	1.61545	1.6	1.6
01.01.2010 00:20:20.599 GMT+0300	1.616	1.61545	1.6	1.6
01.01.2010 00:20:20.869 GMT+0300	1.61605	1.61545	3.2	1.6
01.01.2010 00:20:22.598 GMT+0300	1.616	1.61545	1.6	1.6
01.01.2010 00:20:23.158 GMT+0300	1.61605	1.61545	3.2	1.6
01.01.2010 00:21:23.164 GMT+0300	1.616	1.6154	3.2	3.2
01.01.2010 00:21:37.310 GMT+0300	1.616	1.61545	1.6	1.6
01.01.2010 00:21:44.439 GMT+0300	1.61605	1.6155	1.6	1.6
01.01.2010 00:22:31.947 GMT+0300	1.6161	1.6155	3.2	1.6
01.01.2010 00:22:33.327 GMT+0300	1.61605	1.6155	1.6	1.6
01.01.2010 00:23:24.115 GMT+0300	1.6161	1.6155	3.2	1.6
