Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:11:09.831 GMT+0300	0.8865	0.88625	4	1
01.01.2010 00:11:14.310 GMT+0300	0.8865	0.88635	4	1
01.01.2010 00:11:18.029 GMT+0300	0.88645	0.88635	1	1
01.01.2010 00:11:18.139 GMT+0300	0.88655	0.88635	4	1
01.01.2010 00:11:19.558 GMT+0300	0.88655	0.88635	4	1
01.01.2010 00:11:20.208 GMT+0300	0.88655	0.88635	4	1
01.01.2010 00:11:20.378 GMT+0300	0.88655	0.88635	4	1
01.01.2010 00:11:42.933 GMT+0300	0.88655	0.88635	4	1
01.01.2010 00:11:53.110 GMT+0300	0.8865	0.88635	1	1
01.01.2010 00:12:14.425 GMT+0300	0.88655	0.88635	4.4	1
01.01.2010 00:12:14.715 GMT+0300	0.88655	0.8863	4.4	1
01.01.2010 00:12:21.613 GMT+0300	0.88655	0.88635	4.4	1
01.01.2010 00:12:29.122 GMT+0300	0.88655	0.88635	4	1
01.01.2010 00:12:49.587 GMT+0300	0.88655	0.88635	4	2.3
01.01.2010 00:12:49.767 GMT+0300	0.88655	0.88635	4	5.5
01.01.2010 00:12:49.937 GMT+0300	0.88655	0.88635	4	4.7
01.01.2010 00:12:56.965 GMT+0300	0.88655	0.88635	1	4.7
01.01.2010 00:13:09.792 GMT+0300	0.88655	0.88635	4	4.7
01.01.2010 00:13:10.402 GMT+0300	0.88655	0.88635	4.4	4.7
01.01.2010 00:13:14.751 GMT+0300	0.8865	0.88635	1	4.7
01.01.2010 00:13:15.301 GMT+0300	0.88655	0.88635	4	4.7
01.01.2010 00:13:17.840 GMT+0300	0.88655	0.88635	4.4	4.7
01.01.2010 00:13:18.020 GMT+0300	0.8865	0.88635	1	4.7
01.01.2010 00:13:18.190 GMT+0300	0.8865	0.8863	1	1.5
01.01.2010 00:13:18.420 GMT+0300	0.88645	0.8863	1	1.5
01.01.2010 00:13:18.600 GMT+0300	0.88645	0.88625	1	4.7
01.01.2010 00:13:35.636 GMT+0300	0.88645	0.88625	1	5.5
01.01.2010 00:13:35.756 GMT+0300	0.88645	0.8862	1	5.9
01.01.2010 00:13:38.125 GMT+0300	0.88645	0.88625	4	1
01.01.2010 00:13:38.295 GMT+0300	0.8864	0.8862	1	2.7
01.01.2010 00:13:38.585 GMT+0300	0.8864	0.8862	1	2.3
01.01.2010 00:13:42.804 GMT+0300	0.88645	0.8862	1.2	5.5
01.01.2010 00:13:42.924 GMT+0300	0.88645	0.8862	1	5.5
01.01.2010 00:13:44.434 GMT+0300	0.88645	0.8862	1	8.7
01.01.2010 00:14:00.300 GMT+0300	0.88645	0.8862	1	5.5
01.01.2010 00:14:00.420 GMT+0300	0.88645	0.8862	1	5.5
01.01.2010 00:14:28.663 GMT+0300	0.88645	0.88615	3.2	1
01.01.2010 00:14:28.943 GMT+0300	0.8863	0.88605	3.2	1.5
01.01.2010 00:14:38.711 GMT+0300	0.8863	0.88605	1	4.7
01.01.2010 00:14:38.770 GMT+0300	0.8863	0.88605	1	1.5
01.01.2010 00:14:39.231 GMT+0300	0.8863	0.88605	3.2	1.5
01.01.2010 00:15:04.434 GMT+0300	0.8863	0.88605	1	4.7
01.01.2010 00:15:04.495 GMT+0300	0.88635	0.88605	3.2	4.7
01.01.2010 00:15:13.262 GMT+0300	0.88635	0.8861	3.2	1.5
01.01.2010 00:15:15.732 GMT+0300	0.88635	0.88605	3.2	4.7
01.01.2010 00:16:26.815 GMT+0300	0.88635	0.88605	1	4.7
01.01.2010 00:16:27.165 GMT+0300	0.88635	0.8861	1	1.5
01.01.2010 00:16:41.021 GMT+0300	0.88635	0.8861	1	4.7
01.01.2010 00:16:41.131 GMT+0300	0.8864	0.8861	3.2	4.7
01.01.2010 00:17:48.815 GMT+0300	0.8864	0.886	3.2	4.7
01.01.2010 00:17:49.055 GMT+0300	0.88635	0.886	1	4.7
01.01.2010 00:18:16.019 GMT+0300	0.8864	0.886	3.2	4.7
01.01.2010 00:19:06.486 GMT+0300	0.88635	0.886	1	4.7
01.01.2010 00:19:35.719 GMT+0300	0.8864	0.886	3.2	4.7
01.01.2010 00:19:51.826 GMT+0300	0.8864	0.8861	3.2	4.7
01.01.2010 00:19:57.015 GMT+0300	0.88635	0.8861	1	3.2
01.01.2010 00:19:57.254 GMT+0300	0.88635	0.88605	3.2	4.7
01.01.2010 00:19:58.384 GMT+0300	0.8863	0.88605	3.2	1.5
