Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:09:08.857 GMT+0300	1.43158	1.43145	1.2	2.3
01.01.2010 00:09:09.191 GMT+0300	1.43156	1.4315	5.9	1.5
01.01.2010 00:09:11.386 GMT+0300	1.43158	1.43149	9.5	3.4
01.01.2010 00:09:15.610 GMT+0300	1.43161	1.43147	1.7	1.5
01.01.2010 00:09:17.649 GMT+0300	1.43161	1.43149	3.4	1.5
01.01.2010 00:09:19.219 GMT+0300	1.43159	1.43149	2.5	2.8
01.01.2010 00:09:21.450 GMT+0300	1.43161	1.43148	1.2	2.3
01.01.2010 00:09:23.548 GMT+0300	1.43163	1.43153	1.2	1.5
01.01.2010 00:09:26.418 GMT+0300	1.43168	1.43155	1.5	1.7
01.01.2010 00:09:27.083 GMT+0300	1.43169	1.43157	29	1.7
01.01.2010 00:09:29.479 GMT+0300	1.43167	1.43157	5.7	2.3
01.01.2010 00:09:31.480 GMT+0300	1.43166	1.43152	1.7	1.5
01.01.2010 00:09:34.620 GMT+0300	1.43164	1.4315	2.3	3.2
01.01.2010 00:09:38.649 GMT+0300	1.43163	1.43149	1.5	2.3
01.01.2010 00:09:50.535 GMT+0300	1.4316	1.4315	1.5	3.8
01.01.2010 00:09:51.829 GMT+0300	1.43157	1.43147	1.5	1.9
01.01.2010 00:09:52.050 GMT+0300	1.43156	1.43145	1.7	2.5
01.01.2010 00:09:56.286 GMT+0300	1.43155	1.43143	5.1	2.3
01.01.2010 00:09:56.786 GMT+0300	1.4315	1.43146	2.5	1.5
01.01.2010 00:09:56.897 GMT+0300	1.43149	1.43139	2.5	1.5
01.01.2010 00:09:57.560 GMT+0300	1.43147	1.43137	2.5	2.3
01.01.2010 00:10:04.239 GMT+0300	1.43146	1.43136	5.4	4.9
01.01.2010 00:10:10.300 GMT+0300	1.43148	1.43136	5.1	1.5
01.01.2010 00:10:10.986 GMT+0300	1.43148	1.43136	4	3
01.01.2010 00:10:13.008 GMT+0300	1.43147	1.43135	1.5	2.7
01.01.2010 00:10:17.267 GMT+0300	1.43144	1.43133	4.4	1.7
01.01.2010 00:10:23.159 GMT+0300	1.43138	1.43127	1.5	5.3
01.01.2010 00:10:29.458 GMT+0300	1.43133	1.43123	5.3	4.5
01.01.2010 00:10:31.747 GMT+0300	1.43132	1.4312	1.7	4.2
01.01.2010 00:10:33.767 GMT+0300	1.43135	1.43123	4.9	2.3
01.01.2010 00:10:36.304 GMT+0300	1.43139	1.43129	1.2	1.5
01.01.2010 00:10:36.414 GMT+0300	1.43143	1.43135	1.7	1.5
01.01.2010 00:10:36.526 GMT+0300	1.43148	1.43138	3.4	2.3
01.01.2010 00:10:39.165 GMT+0300	1.43156	1.4314	2.3	4
01.01.2010 00:10:39.277 GMT+0300	1.43162	1.43147	6	2.3
01.01.2010 00:10:39.704 GMT+0300	1.43166	1.43156	3.2	2.5
01.01.2010 00:10:39.928 GMT+0300	1.43169	1.43155	3	2.3
01.01.2010 00:10:40.271 GMT+0300	1.4316	1.43156	4.9	1.5
01.01.2010 00:10:40.508 GMT+0300	1.43162	1.43144	2.9	5.1
01.01.2010 00:10:42.277 GMT+0300	1.43154	1.43142	2.5	1.7
01.01.2010 00:10:46.953 GMT+0300	1.43153	1.43143	1.5	1.5
01.01.2010 00:10:47.586 GMT+0300	1.43152	1.43141	4.4	1.5
01.01.2010 00:10:49.783 GMT+0300	1.43152	1.43143	1.9	2.3
01.01.2010 00:10:53.239 GMT+0300	1.43155	1.43142	3.8	1.5
01.01.2010 00:10:55.317 GMT+0300	1.43155	1.43145	9.8	1.5
01.01.2010 00:11:03.971 GMT+0300	1.43154	1.43146	1.4	2.3
01.01.2010 00:11:07.881 GMT+0300	1.43156	1.43143	21.3	1.7
01.01.2010 00:11:15.241 GMT+0300	1.43154	1.43142	1.5	6.6
01.01.2010 00:11:17.712 GMT+0300	1.43151	1.43139	3	7.5
01.01.2010 00:11:21.232 GMT+0300	1.43153	1.43143	1.7	1.5
01.01.2010 00:11:31.425 GMT+0300	1.43161	1.43151	3.4	1.5
01.01.2010 00:11:34.181 GMT+0300	1.43171	1.43163	1.9	2.7
01.01.2010 00:11:36.431 GMT+0300	1.43179	1.43165	3	1.7
01.01.2010 00:11:41.718 GMT+0300	1.43176	1.43166	1.2	3.9
01.01.2010 00:11:44.452 GMT+0300	1.43174	1.43163	1.5	3.6
01.01.2010 00:11:49.203 GMT+0300	1.43173	1.43161	1.5	1.7
01.01.2010 00:11:51.823 GMT+0300	1.43171	1.43161	1.5	3.8
01.01.2010 00:11:54.843 GMT+0300	1.43172	1.43161	2.3	1.7
01.01.2010 00:11:55.242 GMT+0300	1.43173	1.43163	1.5	4
01.01.2010 00:11:58.780 GMT+0300	1.43175	1.43163	4	2.7
01.01.2010 00:12:05.222 GMT+0300	1.43157	1.43147	2.3	1.5
01.01.2010 00:12:08.925 GMT+0300	1.43162	1.4315	1.2	6.5
